ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000154429,CCSAP,126731,protein_coding,centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]
ENSG00000154839,SKA1,220134,protein_coding,spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]
ENSG00000154920,EME1,146956,protein_coding,essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]
ENSG00000155561,NUP205,23165,protein_coding,nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]
ENSG00000156787,TBC1D31,93594,protein_coding,TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]
ENSG00000156970,BUB1B,701,protein_coding,BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]
ENSG00000157150,TIMP4,7079,protein_coding,TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]
ENSG00000157456,CCNB2,9133,protein_coding,cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]
ENSG00000157470,FAM81A,145773,protein_coding,family with sequence similarity 81 member A [Source:HGNC Symbol;Acc:HGNC:28379]
ENSG00000158402,CDC25C,995,protein_coding,cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]
ENSG00000160326,SLC2A6,11182,protein_coding,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]
ENSG00000160867,FGFR4,2264,protein_coding,fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]
ENSG00000161800,RACGAP1,29127,protein_coding,Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]
ENSG00000161888,SPC24,147841,protein_coding,SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913]
ENSG00000162062,TEDC2,80178,protein_coding,tubulin epsilon and delta complex 2 [Source:HGNC Symbol;Acc:HGNC:25849]
ENSG00000162063,CCNF,899,protein_coding,cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]
ENSG00000163170,BOLA3,388962,protein_coding,bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415]
ENSG00000163507,CIP2A,57650,protein_coding,cellular inhibitor of PP2A [Source:HGNC Symbol;Acc:HGNC:29302]
ENSG00000163535,SGO2,151246,protein_coding,shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]
ENSG00000163808,KIF15,56992,protein_coding,kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]
ENSG00000163918,RFC4,5984,protein_coding,replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]
ENSG00000164032,H2AZ1,3015,protein_coding,H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]
ENSG00000164087,POC1A,25886,protein_coding,POC1 centriolar protein A [Source:HGNC Symbol;Acc:HGNC:24488]
ENSG00000164104,HMGB2,3148,protein_coding,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
ENSG00000164109,MAD2L1,4085,protein_coding,mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]
ENSG00000164362,TERT,7015,protein_coding,telomerase reverse transcriptase [Source:HGNC Symbol;Acc:HGNC:11730]
